transaction_id,product_id,product_name,category,customer_id,customer_name,city,store_id,sale_amount,sale_timestamp
TXN_2_0_6f588b75,91,Wish maintain,Food,4146,Tracy Mitchell MD,New Rachelburgh,13,868.5,2026-04-16T08:20:08.251606
TXN_2_1_66bfd3b2,22,Ok claim,Food,4284,Steve Meyer,Port Williamfort,11,574.8,2026-02-13T08:26:57.705346
TXN_2_2_11c28b6c,44,Travel former,Clothing,5441,Donald Nash,Mercedesport,16,687.53,2026-01-08T02:12:47.673336
TXN_2_3_96e970a5,69,Measure pretty,Electronics,7122,Crystal Miller,Perryside,8,503.9,2026-03-22T12:39:44.921577
TXN_2_4_1d078da6,46,Walk perhaps,Books,9445,Teresa Young,South James,15,858.26,2026-02-17T05:55:07.296642
TXN_2_5_7e946002,82,Soldier writer,Sports,6215,Cindy Estrada,Port Tina,2,931.95,2026-03-26T05:57:37.510197
TXN_2_6_738deee0,43,Subject chance,Clothing,5704,Michael Blake,North Patriciafort,10,930.41,2026-03-06T21:29:46.136066
TXN_2_7_4b66ba41,92,Yet Mr,Books,4750,Jeremy Johnson,Heatherbury,11,601.36,2026-03-20T03:29:54.640448
TXN_2_8_1bd94b17,1,Thought manage,Electronics,5969,Shannon Mcdonald,West Angel,16,124.08,2026-04-23T16:06:07.440255
TXN_2_9_06ab0b55,53,Recently peace,Electronics,6315,Diana Miller,Comptonview,20,446.84,2026-01-05T16:31:05.908386
TXN_2_10_24edd0fe,20,We possible,Sports,7499,Frederick Valenzuela,Wattsberg,17,829.61,2026-01-14T21:25:28.315009
TXN_2_11_26481319,61,Operation music,Electronics,4604,James Smith,Taylortown,8,236.21,2026-03-19T17:46:18.032951
TXN_2_12_5ba36ed0,53,Husband over,Clothing,3348,Austin Allen,West Joseph,16,137.77,2026-04-21T20:43:02.690172
TXN_2_13_4cc7188f,4,Door rich,Clothing,4961,Mary Simpson,Judithstad,12,984.42,2026-01-31T15:02:02.440282
TXN_2_14_b180c54e,43,Cup pay,Sports,7321,Raymond Harrison,Melaniemouth,9,337.11,2026-02-19T06:47:16.202827
TXN_2_15_99505da0,55,Environmental race,Electronics,8305,Wesley Anderson,Lake Isaiah,13,411.21,2026-04-07T21:01:34.499381
TXN_2_16_2d30b746,94,She strong,Clothing,5615,Rebecca Peters,New Lukebury,16,199.67,2026-01-24T16:46:08.158099
TXN_2_17_6e9aaf51,20,Degree pattern,Books,1767,David Medina,Garzastad,3,766.43,2026-02-15T15:13:55.588413
TXN_2_18_6f66d0c5,1,Camera important,Food,3788,Brenda Collins,Port Leslie,14,437.32,2026-04-04T13:58:14.840350
TXN_2_19_ce8990a3,78,Seat decide,Clothing,5008,Ian Carter,East Jennifermouth,8,199.75,2026-04-28T06:01:30.305531
TXN_2_20_9081518f,33,Little camera,Electronics,4466,Alvin West,Sheltonburgh,17,711.26,2026-02-19T06:42:22.143888
TXN_2_21_be5af8c0,37,Month finally,Books,2351,Dr. Cassandra Ramsey,Amandaport,6,53.05,2026-03-23T22:24:19.481859
TXN_2_22_c5636885,14,Gun high,Books,6115,Duane Morris,Port Frank,7,151.51,2026-03-11T02:41:00.647908
TXN_2_23_583ea5d9,17,Appear second,Electronics,2825,Cody Wallace,West Amy,8,860.67,2026-03-11T10:31:08.908473
TXN_2_24_6234c3eb,48,Certainly effect,Food,6676,Alejandra Russell,West Andrewbury,7,923.99,2026-02-08T06:15:17.159631
TXN_2_25_dd291249,36,Glass specific,Clothing,2794,Katie Wilson,Juliefurt,18,263.46,2026-01-03T05:59:09.824497
TXN_2_26_92fb3042,19,Beautiful them,Books,6627,Julie Roth,Lake Michaelaberg,7,220.05,2026-03-10T17:17:20.711158
TXN_2_27_b929ccac,47,Usually late,Books,5111,Kelly Fowler,Shanestad,16,791.21,2026-01-05T02:22:41.108974
TXN_2_28_68688f0c,49,Answer about,Books,9543,Steven Johnson,Marilynchester,15,487.7,2026-02-26T03:06:24.443306
TXN_2_29_4c73180d,39,Management could,Electronics,2243,Blake Torres,Port Cassidy,11,448.37,2026-01-18T14:38:06.899698
TXN_2_30_050cc5e5,67,Black meet,Books,9876,Brian Smith,Katiemouth,1,810.72,2026-02-18T14:06:03.625373
TXN_2_31_1dc98f88,38,Agree activity,Books,1221,Tyler Gallegos,Royfort,12,490.87,2026-05-04T09:48:10.079011
TXN_2_32_bcb0d07a,79,As grow,Books,5194,Zachary Shah,New Carlosborough,19,990.08,2026-01-20T00:23:36.937780
TXN_2_33_0a19e509,77,International imagine,Food,7463,Joshua Chambers,East Guymouth,4,790.71,2026-01-03T21:54:19.683781
TXN_2_34_32bd8651,70,Could open,Food,3334,Kyle Erickson,Meganburgh,17,407.98,2026-01-03T01:34:41.028823
TXN_2_35_0b925a49,66,Industry unit,Food,1962,Joseph Velazquez,Erinside,10,549.01,2026-03-16T03:53:22.802551
TXN_2_36_13dac75a,77,Site past,Clothing,6316,Michele Watson,West Johnland,6,733.29,2026-03-03T04:18:44.868869
TXN_2_37_91a9cae8,58,Money commercial,Sports,8070,Kyle Simpson,Port Melissabury,13,143.9,2026-01-07T15:30:13.280899
TXN_2_38_95f68489,23,Rock anything,Clothing,4579,Christopher Blake DDS,Rojasmouth,6,114.62,2026-01-08T21:48:52.110971
TXN_2_39_4dc552f0,81,Environment I,Electronics,2613,Amy Rice,North Michael,3,583.49,2026-04-07T21:00:52.889817
